tweet,sentiment1
"logistics , storage , management , manpower , distribution , access , vaccine number etc etc . ’ ll million people suddenly rushing vaccination country . ’ s okay sometimes ridicule every decision government try see logic .",1
"take second think fact government willing falsely claim approving vaccine week earlier huge brexit health success , wo n't acknowledge every medical authority uk say brexit health disaster ?",1
"brussels steaming ahead brexit britain , placing vaccine order ahead u , remainers squeal act egregious self harm inflicted upon nation . course , reality , opposite true cry come : “ ’ s competition ! ”",1
"lot hubbub rna vaccine & amp ; 'm rna biologist 🧵 rna message made dna tell body protein cell make . dna waiter , rna restaurant ticket tell body dish ( protein ) make 1/3",2
cheap ‘ non profit ’ vaccine getting targeted .. ’ t think ..,1
"wondering @ pfizer n't release amazing news vaccine week ago election . 90 percent success plus diagnostic tool treatment option , end china virus close . see light end tunnel . rt agree 🇺🇸🇺🇸🇺🇸🇺🇸",1
first : 15 day flatten curve . : vaccine . now : go back way thing . ’ ve lying beginning .,1
fresh hell—most participant ( vaccine hesitant republican focus group ) said * * want fake vaccination card * * allow claim received shot ” given anonymity speak honestly . “ 1000 % ” one woman said.🧵 omg 😳 http : //t.co/3uec3jc3mf http : //t.co/s24g7ptfae,1
"making progress across many front virus . good news vaccine , working treatment , fatality hospital admission low time . 're virtually lockdown spike case . lot news positive .",1
", second corona vaccine http : //t.co/tau0d3dpj6",2
", minister charge vaccine effort went vacation mandate made government , vaccination effort supposed overseeing met 25 % target ? right ?",1
"getting vaccine shot , going restaurant first time immediately getting killed discovering now allergic shellfish",1
"@ realdonaldtrump everyone want strong economy . everyone want go back work provide family . ’ t packed church sunday crowded sport arena . ’ t overflowing nightclub huge party . vaccine , careful .",1
"`` 'm doctor , trust science . ’ m told , reason , people trust ... trust , ’ ll vaccine , '' morgan freeman said . http : //t.co/nah9yryjvr",2
“ work ” means— long & amp ; le clear . probably flu vaccine ( 40 % ? ) v mmr ( 97 % ) . will multiple vaccine first expected fall . likely progressively better . 5/,1
sends bad message daw public yung pagrefuse sa sinovac eh anong message ang sinesend ng forcing hcws use vaccine na walang phase iii data ? stop gaslighting hcws ffs !,0
"president supposed throw first pitch yankee game tonight new york canceled `` strong focus china virus , including scheduled meeting vaccine , economy much . '' president 's public schedule day http : //t.co/gwzb1rmzqx",1
"majesty ’ s call health leader , queen heard nh england nh scotland official four nation uk working together deliver vaccine . queen likened extraordinary community spirit display war effort . http : //t.co/7bfqn4poka",1
"saturday , fda issued emergency use authorization johnson & amp ; johnson covid-19 vaccine . dr. fauci sat answer question . http : //t.co/kjq2srvclp",0
"’ m convinced @ fordnation struggling distributing vaccine . , recent presser , convinced ’ s intentionally delaying continue blame liberal . ’ s half million vaccine still sitting freezer ontario . ?",0
first pride month vaccine going control,1
: ⚪️ man ⚪️ woman 🔘 washington state resident looking : ⚪️ men ⚪️ woman 🔘 answer washington state thus far unable unwilling open vaccine eligibility resident 16 older prior may 1 stark contrast three dozen state,0
"@ roxannelawin brazil , america brazilian literally guy badly executed white blanket outfit made look vaccine liquid . unless ’ re ready sit brazilian go history kkk , brazil “ check w america ” first ?",0
"senate passed covid relief . ✔️ $ 1,400 relief check . ✔️ funding vaccine . ✔️ money reopen school . ✔️ food , unemployment , rental assistance . ✔️ cutting child poverty half . ✔️ help small business . must end pandemic . help way .",0
